tick,servidor,eventos
273,Server-B,2
274,Server-B,2
275,Server-A,2
276,Server-A,2
277,Server-B,4
278,Server-A,2
279,Server-A,2
280,Server-A,2
281,Server-A,2
281,Server-B,4
282,Server-A,2
282,Server-B,2
283,Server-A,2
283,Server-B,2
285,Server-A,2
286,Server-A,4
286,Server-B,4
287,Server-B,6
288,Server-A,2
289,Server-A,4
289,Server-B,8
290,Server-A,2
290,Server-C,1
291,Server-C,2
292,Server-A,2
292,Server-C,2
293,Server-B,2
294,Server-A,2
294,Server-B,2
294,Server-C,2
295,Server-B,2
295,Server-C,2
296,Server-B,2
296,Server-C,6
298,Server-C,6
301,Server-B,2
301,Server-C,2
302,Server-C,2
305,Server-C,2
307,Server-B,2
308,Server-C,2
309,Server-B,2
309,Server-C,4
310,Server-B,2
310,Server-C,2
312,Server-B,4
313,Server-A,1
313,Server-B,4
313,Server-C,2
314,Server-C,8
315,Server-B,4
315,Server-C,2
317,Server-B,2
317,Server-C,2
318,Server-A,2
319,Server-A,2
319,Server-B,2
319,Server-C,4
320,Server-C,8
321,Server-B,2
321,Server-C,2
322,Server-A,2
322,Server-C,4
323,Server-A,2
324,Server-A,2
324,Server-B,2
325,Server-B,2
325,Server-C,4
326,Server-B,2
326,Server-C,4
327,Server-A,2
327,Server-C,2
328,Server-B,2
329,Server-B,4
330,Server-B,2
330,Server-C,2
331,Server-B,2
333,Server-C,2
334,Server-A,4
334,Server-B,2
335,Server-B,4
335,Server-C,2
336,Server-C,4
337,Server-A,2
337,Server-B,4
338,Server-B,4
338,Server-C,2
339,Server-B,2
339,Server-C,6
340,Server-B,6
341,Server-A,2
341,Server-C,6
342,Server-A,4
342,Server-C,2
343,Server-B,4
344,Server-A,2
344,Server-C,2
345,Server-B,4
345,Server-C,4
346,Server-A,2
346,Server-C,6
347,Server-B,4
349,Server-C,2
351,Server-B,2
351,Server-C,4
352,Server-A,2
353,Server-B,2
354,Server-A,2
354,Server-C,2
355,Server-B,6
356,Server-A,2
356,Server-B,2
356,Server-C,4
357,Server-C,2
358,Server-C,2
359,Server-A,4
359,Server-B,2
359,Server-C,2
360,Server-A,2
361,Server-A,2
361,Server-C,4
362,Server-C,2
363,Server-C,4
364,Server-A,2
364,Server-C,4
365,Server-C,2
366,Server-C,6
367,Server-C,2
369,Server-C,4
370,Server-C,2
373,Server-C,2
375,Server-C,6
378,Server-B,1
378,Server-C,2
379,Server-B,2
379,Server-C,2
380,Server-B,2
381,Server-B,2
382,Server-B,6
383,Server-A,1
383,Server-B,2
383,Server-C,2
384,Server-B,4
384,Server-C,2
385,Server-A,2
387,Server-A,2
387,Server-B,6
388,Server-A,4
388,Server-B,4
389,Server-B,2
390,Server-B,2
390,Server-C,2
391,Server-B,2
391,Server-C,2
392,Server-A,4
392,Server-C,2
393,Server-C,4
395,Server-A,4
395,Server-C,2
396,Server-B,2
396,Server-C,4
399,Server-B,2
399,Server-C,4
400,Server-B,2
401,Server-B,2
401,Server-C,2
402,Server-A,2
402,Server-B,2
403,Server-B,2
404,Server-A,2
405,Server-C,2
406,Server-B,2
407,Server-B,2
407,Server-C,2
408,Server-A,2
408,Server-C,4
409,Server-A,2
409,Server-B,2
409,Server-C,2
411,Server-A,2
411,Server-B,2
411,Server-C,2
413,Server-C,2
414,Server-C,2
415,Server-A,2
415,Server-C,2
416,Server-C,2
417,Server-A,2
418,Server-A,2
418,Server-B,2
418,Server-C,4
420,Server-B,2
420,Server-C,6
423,Server-A,2
423,Server-B,2
424,Server-B,2
424,Server-C,4
425,Server-A,2
425,Server-B,2
425,Server-C,2
426,Server-A,4
426,Server-B,2
427,Server-A,2
427,Server-B,4
428,Server-B,2
429,Server-A,2
430,Server-A,2
431,Server-A,24
431,Server-B,2
431,Server-C,4
432,Server-A,38
432,Server-B,2
432,Server-C,2
433,Server-A,56
433,Server-B,2
434,Server-A,58
434,Server-B,2
434,Server-C,2
435,Server-A,22
435,Server-B,4
435,Server-C,2
436,Server-A,60
436,Server-B,34
436,Server-C,4
437,Server-A,26
437,Server-B,78
437,Server-C,2
438,Server-A,88
438,Server-B,2
438,Server-C,2
439,Server-A,68
439,Server-B,2
439,Server-C,2
440,Server-A,88
440,Server-C,2
441,Server-A,28
441,Server-C,2
442,Server-A,68
442,Server-C,2
443,Server-A,36
443,Server-C,6
444,Server-A,20
444,Server-B,2
444,Server-C,2
445,Server-A,76
446,Server-A,26
446,Server-B,4
446,Server-C,4
447,Server-A,14
447,Server-C,2
448,Server-A,94
448,Server-B,4
449,Server-A,28
450,Server-A,46
450,Server-B,2
451,Server-A,78
452,Server-A,14
453,Server-A,60
454,Server-A,62
455,Server-A,20
455,Server-B,2
456,Server-A,30
456,Server-B,2
457,Server-A,22
457,Server-B,4
458,Server-A,66
458,Server-B,2
459,Server-A,40
459,Server-B,2
460,Server-A,30
461,Server-A,22
462,Server-A,26
462,Server-B,2
463,Server-A,10
463,Server-B,2
464,Server-A,80
465,Server-A,20
465,Server-B,4
466,Server-A,82
466,Server-C,1
467,Server-A,22
468,Server-A,78
468,Server-C,2
469,Server-A,46
470,Server-A,22
471,Server-A,92
471,Server-B,2
471,Server-C,4
472,Server-A,40
473,Server-A,60
473,Server-B,2
473,Server-C,2
474,Server-A,36
474,Server-B,2
474,Server-C,2
475,Server-A,30
475,Server-B,2
475,Server-C,2
476,Server-A,50
476,Server-B,2
476,Server-C,2
477,Server-A,76
477,Server-B,2
477,Server-C,6
478,Server-A,14
478,Server-C,2
479,Server-A,24
479,Server-C,2
480,Server-A,68
480,Server-B,2
480,Server-C,4
481,Server-A,50
481,Server-B,4
481,Server-C,2
482,Server-A,40
482,Server-C,6
483,Server-A,8
483,Server-B,2
483,Server-C,4
484,Server-A,58
485,Server-A,76
485,Server-C,2
486,Server-A,22
486,Server-B,2
486,Server-C,2
487,Server-A,52
487,Server-C,6
488,Server-A,44
488,Server-C,4
489,Server-A,46
489,Server-C,2
490,Server-A,46
490,Server-C,4
491,Server-A,74
491,Server-C,4
492,Server-A,44
493,Server-A,26
493,Server-C,6
494,Server-A,20
494,Server-C,2
495,Server-A,66
496,Server-A,48
497,Server-A,32
498,Server-A,26
499,Server-A,64
500,Server-A,2
505,Server-B,1
507,Server-B,6
508,Server-B,2
509,Server-B,2
512,Server-B,4
513,Server-C,1
514,Server-B,2
514,Server-C,4
515,Server-C,2
516,Server-B,2
516,Server-C,2
518,Server-B,2
518,Server-C,4
519,Server-A,1
519,Server-B,2
519,Server-C,2
520,Server-A,42
520,Server-C,2
521,Server-A,44
521,Server-C,6
522,Server-A,28
522,Server-C,4
523,Server-A,62
523,Server-C,2
524,Server-A,14
524,Server-B,4
524,Server-C,2
525,Server-A,36
525,Server-B,2
525,Server-C,2
526,Server-A,40
527,Server-A,48
527,Server-B,4
528,Server-A,74
528,Server-B,2
528,Server-C,4
529,Server-A,24
529,Server-B,2
529,Server-C,2
530,Server-A,24
530,Server-B,2
531,Server-A,84
532,Server-A,54
533,Server-A,36
533,Server-B,2
534,Server-A,28
534,Server-B,4
534,Server-C,2
535,Server-A,74
535,Server-B,2
535,Server-C,4
536,Server-A,30
536,Server-B,2
537,Server-A,26
537,Server-B,2
538,Server-A,62
538,Server-B,2
538,Server-C,4
539,Server-A,46
540,Server-A,20
540,Server-B,2
540,Server-C,4
541,Server-A,20
541,Server-B,2
542,Server-A,64
542,Server-B,6
542,Server-C,2
543,Server-A,32
543,Server-B,2
544,Server-A,26
545,Server-A,20
546,Server-A,16
546,Server-C,6
547,Server-A,62
547,Server-C,4
548,Server-A,34
548,Server-C,4
549,Server-A,40
549,Server-C,4
550,Server-A,38
550,Server-C,4
551,Server-A,20
551,Server-C,6
552,Server-A,34
553,Server-A,38
553,Server-C,4
554,Server-A,32
555,Server-A,14
555,Server-C,2
556,Server-A,38
557,Server-A,68
558,Server-A,24
558,Server-C,6
559,Server-A,68
559,Server-C,6
560,Server-A,40
560,Server-C,2
561,Server-A,22
561,Server-C,6
562,Server-A,16
562,Server-B,1
562,Server-C,6
563,Server-A,60
563,Server-B,6
563,Server-C,4
564,Server-A,48
564,Server-C,2
565,Server-A,2
566,Server-B,2
568,Server-C,4
569,Server-C,2
570,Server-C,4
571,Server-C,4
572,Server-C,10
574,Server-C,4
575,Server-C,4
576,Server-C,2
577,Server-C,2
578,Server-C,2
579,Server-C,4
580,Server-C,2
581,Server-C,6
582,Server-C,2
583,Server-C,2
584,Server-A,1
585,Server-A,18
585,Server-B,1
586,Server-A,54
586,Server-C,4
587,Server-A,44
587,Server-B,2
587,Server-C,4
588,Server-A,20
588,Server-B,2
588,Server-C,4
589,Server-A,14
589,Server-B,2
589,Server-C,2
590,Server-A,46
590,Server-C,2
591,Server-A,22
591,Server-B,4
591,Server-C,2
592,Server-A,22
592,Server-C,2
593,Server-A,40
593,Server-C,4
594,Server-A,46
595,Server-A,12
595,Server-B,2
595,Server-C,2
596,Server-A,70
596,Server-C,4
597,Server-A,60
598,Server-A,28
598,Server-B,2
598,Server-C,2
599,Server-A,36
599,Server-B,2
600,Server-A,88
601,Server-A,28
602,Server-A,48
602,Server-B,2
603,Server-A,52
603,Server-C,2
604,Server-A,80
604,Server-B,2
604,Server-C,6
605,Server-A,14
605,Server-B,2
606,Server-A,26
606,Server-B,2
606,Server-C,4
607,Server-A,48
607,Server-C,2
608,Server-A,20
608,Server-B,2
609,Server-A,16
609,Server-C,2
610,Server-A,72
610,Server-C,2
611,Server-A,52
611,Server-C,2
612,Server-A,30
612,Server-B,2
613,Server-A,70
613,Server-B,2
613,Server-C,2
614,Server-A,26
614,Server-B,2
615,Server-A,66
615,Server-C,4
616,Server-A,58
616,Server-C,2
617,Server-A,22
618,Server-A,60
618,Server-C,4
619,Server-A,64
619,Server-B,4
620,Server-A,12
620,Server-B,4
620,Server-C,2
621,Server-A,70
621,Server-B,6
622,Server-A,44
622,Server-B,4
622,Server-C,2
623,Server-A,34
623,Server-B,2
623,Server-C,2
624,Server-A,20
624,Server-B,2
624,Server-C,2
625,Server-A,32
625,Server-C,4
626,Server-A,28
626,Server-C,2
627,Server-A,70
627,Server-B,4
627,Server-C,2
628,Server-A,24
629,Server-A,62
629,Server-C,2
630,Server-A,22
630,Server-C,2
631,Server-A,84
631,Server-B,2
631,Server-C,4
632,Server-A,24
632,Server-C,2
633,Server-A,66
633,Server-C,2
634,Server-A,50
634,Server-C,4
635,Server-A,40
636,Server-A,68
637,Server-A,24
638,Server-A,34
639,Server-A,78
639,Server-B,2
639,Server-C,2
640,Server-A,30
640,Server-B,4
640,Server-C,4
641,Server-A,64
641,Server-C,2
642,Server-A,50
642,Server-B,2
642,Server-C,2
643,Server-A,26
643,Server-B,2
643,Server-C,2
644,Server-A,28
644,Server-B,2
644,Server-C,6
645,Server-A,48
645,Server-C,2
646,Server-A,16
647,Server-A,12
647,Server-B,2
647,Server-C,2
648,Server-A,22
648,Server-C,4
649,Server-A,26
649,Server-B,2
650,Server-A,44
650,Server-C,2
651,Server-A,50
651,Server-B,2
651,Server-C,4
652,Server-A,44
652,Server-C,2
653,Server-A,68
653,Server-B,2
653,Server-C,6
654,Server-A,28
654,Server-C,2
655,Server-A,76
655,Server-C,4
656,Server-A,68
656,Server-C,6
657,Server-A,14
657,Server-C,4
658,Server-A,26
659,Server-A,42
