tick,servidor,eventos
967,Server-A,62
967,Server-B,4
968,Server-A,22
969,Server-A,16
969,Server-B,2
970,Server-A,66
970,Server-B,6
971,Server-A,22
971,Server-B,86
972,Server-A,52
972,Server-B,6
973,Server-A,20
973,Server-B,6
974,Server-A,50
974,Server-B,2
974,Server-C,1
975,Server-A,82
975,Server-B,4
976,Server-A,50
977,Server-A,32
977,Server-B,4
978,Server-A,38
978,Server-C,2
979,Server-A,30
980,Server-A,98
980,Server-B,2
981,Server-A,62
982,Server-A,32
983,Server-A,10
983,Server-B,2
983,Server-C,2
984,Server-A,42
984,Server-B,2
984,Server-C,2
985,Server-A,52
985,Server-C,2
986,Server-A,46
986,Server-B,2
987,Server-A,40
987,Server-C,2
988,Server-A,82
988,Server-B,2
989,Server-A,46
989,Server-B,4
989,Server-C,2
990,Server-A,28
990,Server-B,2
990,Server-C,2
991,Server-A,16
991,Server-B,4
991,Server-C,6
992,Server-A,56
992,Server-B,8
992,Server-C,4
993,Server-A,28
994,Server-A,30
994,Server-B,6
994,Server-C,4
995,Server-A,28
995,Server-B,2
995,Server-C,4
996,Server-A,62
996,Server-C,4
997,Server-A,24
997,Server-C,2
998,Server-A,50
999,Server-A,34
999,Server-B,4
999,Server-C,2
1000,Server-A,61
1000,Server-B,1
1000,Server-C,5
